crid,officer_id,cat_id,recc_finding,recc_outcome,finding_edit,outcome_edit,value,beat,location,add1,add2,city,incident_date,start_date,end_date,investigator_id,final_outcome_class
1065756,4543,10J,,600,No Affidavit,Unsustained,0,0221,17,4655,S DR MARTIN LUTHER KING JR DR,CHICAGO IL 60653,2013-10-27 17:54:00,2013-10-27,2013-12-30,1476,not-sustained
1044482,4544,05K,,600,No Affidavit,Unsustained,0,,XX,,,CHICAGO IL,2011-04-04 15:58:00,2011-04-04,2011-06-30,499,not-sustained
1060986,4544,,,,Unknown,Unknown,?,1231,17,1649,W ADAMS ST,CHICAGO IL 60612,2013-02-22 01:40:00,2013-03-27,,272,open-investigation
1066110,4544,,,,Unknown,Unknown,?,1225,08,2111,W LEXINGTON ST,CHICAGO IL 60612,2013-11-15 13:50:00,2013-11-15,,356,open-investigation
1071107,4544,05L,,600,No Affidavit,Unsustained,0,1612,20,6433,N OLIPHANT AVE,CHICAGO IL 60631,2014-08-18 00:00:00,2014-08-21,2014-09-30,499,not-sustained
1050522,4546,10U,NS,600,Not Sustained,Unsustained,0,0722,19,,,,2011-12-04 15:00:00,2011-12-06,2012-03-22,333,not-sustained
1054325,4546,10U,,600,No Affidavit,Unsustained,0,0723,19,,,,2012-05-27 00:00:00,2012-05-27,2012-07-18,253,not-sustained
1055346,4546,04E,,600,No Affidavit,Unsustained,0,0713,17,1438,W 63RD ST,CHICAGO IL 60636,2012-07-04 18:00:00,2012-07-07,2012-10-05,333,not-sustained
1055402,4546,10U,,600,No Affidavit,Unsustained,0,0735,17,7100,S HONORE ST,CHICAGO IL,2012-07-09 19:30:00,2012-07-09,2012-10-24,333,not-sustained
1053144,4547,04E,NS,600,Not Sustained,Unsustained,0,1423,17,1532,N WASHTENAW AVE,CHICAGO IL 60622,2012-04-08 00:04:00,2012-04-08,2013-02-25,993,not-sustained
1068363,4547,,,,Unknown,Unknown,?,0434,17,10400,S TORRENCE AVE,CHICAGO IL,2014-04-03 00:30:00,2014-04-03,,300,open-investigation
