,crid,officer_id,cat_id,recc_finding,recc_outcome,finding_edit,outcome_edit,value,beat,location,add1,add2,city,incident_date,start_date,end_date,investigator_id,final_outcome_class
18874,1044986,8799.0,05Q,SU,5.0,Sustained,5,5,1224.0,03,1535.0,W MADISON ST,CHICAGO IL 60607,2011-04-26 23:35:00,2011-04-27,2014-02-13,300.0,disciplined
18875,1049456,8801.0,03B,NS,600.0,Not Sustained,Unsustained,0,632.0,03,8700.0,S STATE ST,CHICAGO IL 60619,2011-10-20 00:00:00,2011-10-20,2012-07-16,1467.0,not-sustained
18878,1059368,8801.0,05B,,600.0,No Affidavit,Unsustained,0,621.0,17,406.0,W 79TH ST,CHICAGO IL,2011-12-14 00:00:00,2013-01-07,2013-03-26,1216.0,not-sustained
18879,1053780,8801.0,05A,UN,600.0,Unfounded,Unsustained,0,624.0,17,7646.0,S EBERHART AVE,CHICAGO IL 60619,2012-05-04 11:00:00,2012-05-04,2014-01-30,760.0,not-sustained
18882,1051402,8802.0,05A,NS,600.0,Not Sustained,Unsustained,0,1433.0,17,1674.0,N ELSTON AVE,CHICAGO IL 60622,2012-01-22 00:00:00,2012-01-23,2013-01-04,1456.0,not-sustained
18883,1049286,8803.0,,,,Unknown,Unknown,?,1313.0,17,701.0,N KEDZIE AVE,CHICAGO IL,2011-10-13 00:17:00,2011-10-13,,969.0,open-investigation
18884,1072550,8803.0,03B,,600.0,No Affidavit,Unsustained,0,1531.0,17,918.0,N LAVERGNE AVE,CHICAGO IL,2012-10-12 12:30:00,2014-11-14,2014-12-18,83.0,not-sustained
18885,1067558,8803.0,03G,,,Unknown,Unknown,?,1511.0,17,800.0,N WALLER AVE,CHICAGO IL 60651,2013-12-21 13:05:00,2014-02-17,2014-03-31,312.0,unknown
18887,1050055,8805.0,04J,NS,600.0,Not Sustained,Unsustained,0,731.0,17,6900.0,S LAFAYETTE AVE,CHICAGO IL,2011-11-15 19:30:00,2011-11-16,2014-02-25,133.0,not-sustained
18888,1068758,8805.0,03D,,,Unknown,Unknown,?,1913.0,17,1109.0,W WILSON AVE,CHICAGO IL,2013-10-23 20:00:00,2014-04-24,2014-05-21,404.0,unknown
18889,1064380,8806.0,03D,,600.0,No Affidavit,Unsustained,0,711.0,17,643.0,W 62ND ST,CHICAGO IL,2011-06-22 00:01:00,2013-08-20,2013-09-30,231.0,not-sustained
18890,1050013,8806.0,05A,NS,600.0,Not Sustained,Unsustained,0,712.0,17,5500.0,S MORGAN ST,CHICAGO IL 60621,2011-11-15 00:00:00,2011-11-15,2014-02-25,1440.0,not-sustained
18892,1047106,8808.0,04E,,600.0,No Affidavit,Unsustained,0,434.0,04,2255.0,E 103RD ST,CHICAGO IL,2011-07-14 20:11:00,2011-07-20,2011-10-03,1138.0,not-sustained
18894,1052177,8808.0,10U,,600.0,No Affidavit,Unsustained,0,431.0,04,9917.0,S BENSLEY AVE,CHICAGO IL 60617,2012-02-04 13:30:00,2012-02-28,2012-07-11,1138.0,not-sustained
18895,1055037,8808.0,07B,EX,600.0,Exonerated,Unsustained,0,414.0,17,7900.0,S CLYDE AVE,CHICAGO IL,2012-03-30 00:00:00,2012-06-25,2012-10-03,3.0,not-sustained
18896,1039179,8810.0,05J,,,Sustained,Noted,0,2223.0,17,9100.0,S HALSTED ST,CHICAGO IL,2012-08-23 00:00:00,2012-08-23,2014-04-21,645.0,sustained
18899,1070409,8814.0,04E,,600.0,No Affidavit,Unsustained,0,312.0,17,6300.0,S ST LAWRENCE AVE,CHICAGO IL 60637,2014-07-07 15:00:00,2014-07-17,2014-10-22,546.0,not-sustained
18901,1045745,8815.0,05A,UN,600.0,Unfounded,Unsustained,0,532.0,17,11800.0,S MICHIGAN AVE,CHICAGO IL 60628,2011-05-26 00:00:00,2011-05-29,2012-10-11,208.0,not-sustained
18903,1047625,8815.0,10U,,600.0,No Affidavit,Unsustained,0,511.0,17,10017.0,S EBERHART AVE,CHICAGO IL 60628,2011-08-09 19:00:00,2011-08-11,2011-11-08,95.0,not-sustained
18904,1065532,8815.0,10U,,600.0,No Affidavit,Unsustained,0,631.0,17,511.0,E 82ND ST,CHICAGO IL,2013-10-15 18:05:00,2013-10-15,2014-01-27,891.0,not-sustained
18905,1066792,8817.0,,,,Unknown,Unknown,?,921.0,08,3900.0,S CALIFORNIA AVE,CHICAGO IL,2013-12-28 19:10:00,2013-12-28,,1279.0,open-investigation
18907,1055777,8818.0,10U,,600.0,No Affidavit,Unsustained,0,434.0,04,2255.0,E 103RD ST,CHICAGO IL 60617,2012-07-23 00:00:00,2012-07-23,2012-10-02,1138.0,not-sustained
18909,1061297,8820.0,10J,,,Unknown,Unknown,?,511.0,17,9500.0,S LA SALLE ST,CHICAGO IL 60628,2013-04-09 16:50:00,2013-04-09,2013-07-16,373.0,unknown
18910,1050949,8822.0,,,,Unknown,Unknown,?,726.0,17,6348.0,S HONORE ST,CHICAGO IL,2011-12-26 15:40:00,2011-12-29,,981.0,open-investigation
18911,1052050,8822.0,05A,UN,600.0,Unfounded,Unsustained,0,731.0,17,7200.0,S PRINCETON AVE,CHICAGO IL,2012-02-20 14:30:00,2012-02-22,2014-02-03,1472.0,not-sustained
